rowNum,folder,filename,tags1,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9
123,./cypress/e2e/Regression/ClientSide/Templates,Fork_Template_Existing_app_spec.js,@tag.Templates,@tag.excludeForAirgap,,,,,,,
124,./cypress/e2e/Regression/ClientSide/UserProfile,UpdateUsersName_spec.js,@tag.Settings,,,,,,,,
125,./cypress/e2e/Regression/ClientSide/PropertyPane,PropertyPane_Connections_Error_spec.js,@tag.PropertyPane,,,,,,,,
126,./cypress/e2e/Regression/ClientSide/PropertyPane,PropertyPaneCTA_spec.js,@tag.PropertyPane,,,,,,,,
127,./cypress/e2e/Regression/ClientSide/PropertyPane,PropertyPaneJsEnabledVisible_spec.js,@tag.PropertyPane,,,,,,,,
128,./cypress/e2e/Regression/ClientSide/AdminSettings,Admin_settings_spec.js,@tag.Settings,@tag.airgap,@tag.airgap,@tag.excludeForAirgap,,,,,
129,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,DynamicLayout_spec.js,,,,,,,,,
130,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Analytics_spec.js,@tag.excludeForAirgap,,,,,,,,
131,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,ApplicationURL_spec.js,,,,,,,,,
132,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,ViewMode_spec.js,,,,,,,,,
133,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Logs2_spec.js,@tag.IDE,,,,,,,,
134,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Unique_key_spec.js,,,,,,,,,
135,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Resize_spec.js,,,,,,,,,
136,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,lazyRender_spec.js,,,,,,,,,
137,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,ProductUpdates_spec.js,,,,,,,,,
138,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Redirects_spec.js,,,,,,,,,
139,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Logs1_spec.js,,,,,,,,,
140,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Inspect_Element_spec.js,,,,,,,,,
141,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,TriggerErrors_spec.js,,,,,,,,,
142,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,PreviewMode_spec.js,@tag.IDE,,,,,,,,
143,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,UpdateApplication_spec.js,,,,,,,,,
144,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Widget_Error_spec.js,,,,,,,,,
145,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Replay_Editor_spec.js,,,,,,,,,
146,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,ExportApplication_spec.js,@tag.ImportExport,,,,,,,,
147,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Replay_spec.js,,,,,,,,,
148,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,Omnibar_spec.js,@tag.excludeForAirgap,,,,,,,,
149,./cypress/e2e/Regression/ClientSide/OtherUIFeatures,GlobalSearch_spec.js,@tag.excludeForAirgap,,,,,,,,
150,./cypress/e2e/Regression/ClientSide/ActionExecution,setInterval_spec.js,@tag.JS,,,,,,,,
151,./cypress/e2e/Regression/ClientSide/VisualTests,JSEditorIndent_spec.js,@tag.Visual,,,,,,,,
